Name,Description,Years lived,Name,Description,Years lived,Name,Description,Years lived
Sorrell Booke,American actor and director,64,Don Shula,American football player an,1930 -,William Deane,"Australian judge and politician, 22nd Governor-General o",1931 -
Clint Hill,American secret service agent an,1932 -,Roman Personov,Russian physicist and academic,70,Carlos Saura,Spanish director an,1932 -
Ilia II o,,1933 -,Phyllis Reynolds Naylor,America,1933 -,Hellmuth Karasek,"Czech-German journalist, author, and critic",81
Walter Mahlendorf,Germa,1935 -,Floyd Patterson,American boxer,71,Toru Terasawa,Japanes,1935 -
Dyan Cannon,"American actress, director, producer, an",1937 -,Mick O'Connell,Iris,1937 -,Eddie Southern,America,1938 -
Gao Xingjian,"Chinese-French author, playwright, and critic, Nobel Priz",1940 -,Helmut Jahn,"German-American architect, designed Liberty Place an",1940 -,Brian Josephson,"Welsh physicist and academic, Nobel Priz",1940 -
John Bennett Perry,American actor an,1941 -,Kalpnath Rai,Indian politician,58,Maureen Reagan,American actress and activist,60
Bolaji Akinyemi,"Nigerian political scientist, academic, an",1942 -,John McLaughlin,"English guitarist and songwriter (The Tony Williams Lifetime, Mahavishnu Orchestra, Shakti, and Remembe",1942 -,Doris Kearns Goodwin,American historian an,1943 -
Priit Vesilind,Estonian-American author an,1943 -,Angela Harris,"Baroness Harris of Richmond, Englis",1944 -,Charlie Manuel,American baseball player an,1944 -
Vesa-Matti Loiri,Finnish actor an,1945 -,Richard R. Schrock,"American chemist and academic, Nobel Priz",1945 -,Lisa Appignanesi Polish-English author an,,1946 -
Chris Cutler,"American-English drummer and songwriter (Henry Cow, Art Bears, News from Babel, Cassiber, The Science Group, an",1947 -,Marie-Thérèse Letablier,French sociologist an,1947 -,Rick Stein,English chef an,1947 -
Cissé Mariam Kaïdama Sidibé,"Malian civil servant and politician, Prime Minister o",1948 -,Mick Mills,English footballer an,1949 -,Khondakar Ashraf Hossain,Bangladesh poet and academic,63
Barbara Cochran,America,1951 -,Norberto Alonso,Argentinia,1953 -,Eugene Chadbourne,American guitarist and songwrite,1954 -
Cecilia Conrad,Norwegian economist an,1955 -,Mark Hollis,English singer-songwriter (Tal,1955 -,Nels Cline,American guitarist and songwrite,1956 -
Sarojini Sahoo,"Indian journalist, author, an",1956 -,Bernard Sumner,"English singer-songwriter, guitarist, and producer (Joy Division, New Order, Electronic, and Ba",1956 -,Patty Loveless,American singer-songwriter an,1957 -
Vesna Zmijanac,Serbian singer an,1957 -,Matt Frewer,American-Canadia,1958 -,Gary Jones,Welsh-Canadian actor an,1958 -
Vanity,"Canadian-American singer-songwriter, dancer, and actress (Vanity 6)",57,Gavin Miller,Australian rugby leagu,1960 -,Michael Stipe,American singer-songwriter and producer (R.E.M. and Automati,1960 -
Natalya Bochina,Russia,1962 -,Harlan Coben,America,1962 -,Joe Kleine,American basketball player an,1962 -
Peter Steele,"American singer-songwriter and bass player (Type O Negative, Carnivore and Fallout)",48,Igor Astapkovich,Belarusian hamme,1963 -,Dave Foley,"Canadian comedian, actor, director, an",1963 -
Dot Jones,American shot putter an,1964 -,Riki Takeuchi,Japanese actor an,1964 -,Yvan Attal,French actor an,1965 -
Beth Gibbons,English singer-songwrite,1965 -,Craig Revel Horwood,"Australian-English dancer, choreographer, an",1965 -,Cait O'Riordan,British bass player and songwriter (The Pogues and The Radiators fro,1965 -
Rob Wilson,Englis,1965 -,Deana Carter,American singer-songwriter an,1966 -,La Parka II,Mexica,1966 -
Johnny Nelson,English boxer an,1967 -,Marina Orsini,Canadia,1967 -,David Toms,American golfer an,1967 -
Kostas Frantzeskos,Gree,1969 -,Marla Runyan,American runner and lon,1969 -,Kees van Wonderen,Dutch footballer an,1969 -
Junichi Kakizaki,Japanese botanist an,1971 -,James Longley,American director an,1972 -,Greg de Vries,Canadian ice hocke,1973 -
Harmony Korine,"American director, producer, an",1973 -,Danilo Hondo,Germa,1974 -,Sjur Miljeteig,Norwegian trumpet player an,1974 -
Benoît Joachim,Luxembourgis,1976 -,Ted Lilly,American basebal,1976 -,Irán Castillo,Mexican actress an,1977 -
Vhong Navarro,"Filipino actor, singer, an",1977 -,Dan Shanahan,Irish hurler an,1977 -,Ozell Wells,"Dominican-American basketball player, coach, an",1977 -
Dominik Hrbatý,Slovakian tenni,1978 -,Paul Licuria,Australia,1978 -,Mai Meneses,Spanish singer-songwriter and guitarist (Nen,1978 -
Tristan Gommendy,French race ca,1979 -,Alexandra Jiménez,Spanis,1980 -,Miguel Monteiro,Portugues,1980 -
Silvy De Bie,Belgian singe,1981 -,Hitomi Obara,Japanes,1981 -,Paulo Ferrari,Argentinia,1982 -
Richard Logan,Englis,1982 -,Lucie Škrobáková,Czec,1982 -,Spencer Chamberlain,American singer-songwriter (Underoath an,1983 -
İbrahim Akın,Turkis,1984 -,Danielle Campo,Canadia,1985 -,Lenora Crichlow,Englis,1985 -
Al Jefferson,American basketbal,1985 -,Fernando Rees,Brazilian race ca,1985 -,Katrina Halili,Filipino model an,1986 -
Andrei Krauchanka,Belarusia,1986 -,James Milner,Englis,1986 -,Steve Slaton,American footbal,1986 -
Nikolaj Misiuk,Lithuania,1987 -,Kay Voser,Swis,1987 -,Anestis Argyriou,Gree,1988 -
Labrinth,"English singer-songwriter, guitarist, an",1989 -,Jeff Gyasi,Nigeria,1989 -,Graham Rahal,American race ca,1989 -
Julia Glushko,Israeli tenni,1990 -,Toni Kroos,Germa,1990 -,Alberto Paloschi,Italia,1990 -
Stefan Nenadović,Montenegri,1991 -,Kris Bryant,American basebal,1992 -,Richard,"1st Earl of Cornwall, English-German king",63
Xu Xiake,Chinese geographer and explorer,54,Archduke Leopold Wilhelm of Austria,,48,Paolo Lorenzani,Italian composer,73
William Barrington,"2nd Viscount Barrington, English politician, Chancellor of the Exchequer",76,Claude Martin,French-English general and explorer,65,Constanze Mozart,German wife of Wolfgang Amadeus Mozart,80
Zebulon Pike,American general and explorer,35,Stephen Decatur,American commander,41,Harvey Putnam,American lawyer and politician,62
William John Wills,English surgeon and explorer,27,Camille Jordan,French mathematician and academic,84,Rudolf Christoph Eucken,"German philosopher and author, Nobel Prize laureate",80
Bob Caruthers,American baseball player and manager,47,Julio Garavito Armero,"Colombian astronomer, mathematician, and engineer",55,Ban Johnson,"American businessman, founded the Western League",66
Frederick Converse,American composer and academic,69,Joseph Erlanger,"American physiologist and academic, Nobel Prize laureate",91,Konrad Adenauer,"German lawyer and politician, Chancellor of West Germany",91
Marcel Tournier,French harp player and composer,72,Nikolai Medtner,Russian pianist and composer,71,Pablo Gargallo,Spanish sculptor and painter,53
Dorothy Levitt,English racing driver and journalist,40,Humbert Wolfe,Italian-English poet and civil servant,55,Markus Reiner,Israeli physicist and engineer,90
Paramahansa Yogananda,Indian-American guru and philosopher,59,Alberto Massimino,Italian automotive engineer,80,Kiyoshi Miki,Japanese philosopher and author,48
Hubert Beuve-Méry,French journalist,87,Stella Gibbons,English journalist and author,87,Harold Gatty,Australian pilot and navigator,54
Erika Morini,Austrian violinist,91,Kathleen Kenyon,English archaeologist and academic,72,George Dolenz,Italian-American actor,55
Stephen Cole Kleene,American mathematician and computer scientist,85,Hugh Brannum,American actor and singer,77,Jack Lovelock,New Zealand runner and journalist,39
Nejat Eczacıbaşı,"Turkish-American chemist, businessman, and philanthropist, founded Eczacıbaşı",80,Nicolas de Staël,Russian-French painter and illustrator,41,George Reeves,American actor and director,45
Lucienne Day,English textile designer,93,Francis L. Kellogg,American businessman and diplomat,89,Wieland Wagner,German director and producer,49
Hector Abhayavardhana,Sri Lankan theorist and politician,93,Severino Gazzelloni,Italian flute player,73,Herb Peterson,American businessman,89
Friedrich Dürrenmatt,Swiss author and playwright,69,Jean,"Grand Duke of Luxembourg, Luxembourgis",1921 -,Anthony Synnot,Australian admiral,79
Sam Phillips,"American radio host and producer, founded Sun Records",79,Veikko Karvonen,Finnish runner,81,W. D. Snodgrass,American poet and academic,83
Sivaya Subramuniyaswami,"American guru and author, founded Iraivan Temple",74,Zulfikar Ali Bhutto,"Pakistani lawyer and politician, 4th President of Pakistan",51,Walter Mondale,"American soldier, lawyer, and politician, 42nd Vice President of the Unite",1928 -
Aulis Rytkönen,Finnish footballer and manager,85,Al Masini,American screenwriter and producer,80,Alvin Ailey,"American dancer and choreographer, founded the Alvin Ailey American Dance Theater",58
Robert Duvall,American actor an,1931 -,Umberto Eco,Italian philosopher and author,84,Raisa Gorbachova,"Russian wife of Mikhail Gorbachev, 11th First Lady of the Soviet Union",67
Derek Johnson,English runner,71,Leonard Marsh,"American businessman, co-founded Snapple",80,Phil Ramone,"South African-American songwriter and producer, co-founded A & R Recording",79
Juan Carlos I o,,1938 -,Ngũgĩ wa Thiong'o,Kenyan author an,1938 -,M. E. H. Maharoof,Sri Lankan politician,58
Hayao Miyazaki,"Japanese animator, director, an",1941 -,Mansoor Ali Khan Pataudi,Indian cricketer and coach,70,Jan Leeming,Englis,1942 -
Charlie Rose,American journalist and talk sho,1942 -,Mary Gaudron,Australian lawyer an,1943 -,Murtaz Khurtsilava,Georgian footballer an,1943 -
Chuck McKinley,American tennis player,41,Roger Spottiswoode,Canadian-English director an,1945 -,Diane Keaton,"American actress, singer, director, producer, an",1946 -
Mike DeWine,"American lawyer and politician, 59th Lieutenant Governor o",1947 -,Mercury Morris,American footbal,1947 -,Ted Lange,"American actor, director, an",1948 -
Peter Goldsmith,"Baron Goldsmith, English lawyer and politician, Attorney General for England an",1950 -,John Manley,"Canadian lawyer and politician, 8th Deputy Prime Minister o",1950 -,Charlie Richmond,Canadian sound designer an,1950 -
Krzysztof Wielicki,Polis,1950 -,Steve Arnold,Englis,1951 -,Jagathy Sreekumar,Indian actor an,1951 -
Steve Archer,American singer-songwriter and producer (Th,1953 -,Pamela Sue Martin,America,1953 -,Mike Rann,"English-Australian journalist and politician, 44th Premier of Sout",1953 -
Alex English,American basketball player an,1954 -,László Krasznahorkai,Hungarian author an,1954 -,Mamata Banerjee,"Indian lawyer and politician, Chief Minister of Wes",1955 -
Jimmy Mulville,"English comedian, actor, producer, and screenwriter, co-founded Hat Tric",1955 -,Mohsen Sazegara,Iranian journalist an,1955 -,Frank-Walter Steinmeier,"German academic and politician, 14th Vice-Chancellor o",1956 -
Nancy Delahunt,Canadia,1958 -,Ron Kittle,American baseball player an,1958 -,Clancy Brown,America,1959 -
Steve Jones,English captain an,1960 -,Glenn Strömberg,Swedish footballer an,1960 -,Iris DeMent,American singer-songwriter an,1961 -
Suzy Amis,American actress an,1962 -,Danny Jackson,American baseball player an,1962 -,Andrew Rawnsley,English journalist an,1962 -
Grant Young,American drummer (Sou,1964 -,Ricky Paull Goldin,American actor an,1965 -,Vinnie Jones,English footballer an,1965 -
Kate Schellenbach,America,1966 -,Steve Tuttle,Canadian ice hocke,1966 -,Joe Flanigan,American actor an,1967 -
Andrew Golota,Polish-America,1968 -,Carrie Ann Inaba,"American actress, dancer, an",1968 -,Joé Juneau,Canadian ice hockey player an,1968 -
Stian Carstensen,Norwegian banjo player an,1971 -,Philip Davies,Englis,1972 -,Iwan Thomas,Welsh sprinter an,1974 -
Warrick Dunn,American footbal,1975 -,Mike Grier,American ice hockey player an,1975 -,Shintarō Asanuma,Japanese voice actor an,1976 -
Matt Wachter,American bass player (Thirty Seconds to Mars and Angels,1976 -,Marcus Trick,German rugb,1977 -,Sabrina Harman,America,1978 -
Franck Montagny,French race ca,1978 -,Kyle Calder,Canadian ice hocke,1979 -,Giuseppe Gibilisco,Italian pol,1979 -
Sebastian Deisler,Germa,1980 -,Bennie Joppru,American footbal,1980 -,Brad Meyers,Australian rugby leagu,1980 -
Corey Flynn,New Zealand rugb,1981 -,Norichika Aoki,Japanese basebal,1982 -,Tiiu Nurmberg,Canadian-Estonia,1982 -
Sean Dockery,American basketbal,1983 -,Derrick Atkins,Bahamia,1984 -,Michael Cuccione,Canadian actor and singer,16
J. P. Arencibia,American basebal,1986 -,Deepika Padukone,India,1986 -,Pauline,Frenc,1988 -
Mario de Luna,Mexica,1988 -,Yago Fernández,Portugues,1988 -,Krisztián Németh,Hungaria,1989 -
Soner Aydoğdu,Turkis,1991 -,Eric Fisher,American footbal,1991 -,Daniel Pacheco,Spanis,1991 -
Berkin Elvan,15-year-old Kurdish boy,15,Richard II of England,,33,Edmund Holland,"4th Earl of Kent, English son of Alice Holland, Countess of Kent",24
Martin Agricola,German composer and theorist,70,Helius Eobanus Hessus,German poet,52,Caspar Peucer,German physician and scholar,77
Gaspar de Guzmán,Count-Duke of Olivares,58,Claude Favre de Vaugelas,French educator and courtier,55,Christoffer Gabel,Danish politician,56
Alexander Gordon,Scottish-Russian general,82,James Brydges,"1st Duke of Chandos, English academic and politician, Lord Lieutenant of Radnorshire",71,Giuseppe Sammartini,Italian oboe player and composer,55
Percivall Pott,English surgeon,74,Andreas Moustoxydis,Greek historian and philologist,75,James Madison Porter,"American lawyer and politician, 18th United States Secretary of War",69
Jedediah Smith,"American hunter, explorer, and author",32,Henri Herz,Austrian pianist and composer,85,Joseph Petzval,German-Hungarian mathematician and physicist,84
Charles Sumner,American lawyer and politician,63,Melchora Aquino,Filipino activist,107,Baldassare Verazzi,Italian painter,67
Gustave Doré,French painter and sculptor,51,Ludwig Schüler,"German lawyer and politician, Mayor of Marburg",94,Max Bruch,German composer and conductor,82
Hristo Botev,Bulgarian poet and journalist,28,Eduard Bernstein,German theorist and politician,82,Franz Xaver Scharwenka,Polish-German pianist and composer,74
Hugh Mahon,"Irish-Australian publisher and politician, 10th Australian Minister for Foreign Affairs",74,William Russell,"American lawyer and politician, 37th Governor of Massachusetts",39,Samuel Alexander,Australian-English philosopher and academic,79
George Lloyd,English-Canadian bishop and theologian,79,János Zsupánek,Slovene-Hungarian author and poet,90,Dante Cappelli,Italian actor and director,82
Vittorio Monti,"Italian violinist, composer, and conductor",54,Gustav Bauer,"German journalist and politician, 11th Chancellor of Germany",74,Alexander Scriabin,Russian pianist and composer,43
Adeline Genée,Danish-English ballerina,92,Carl Sandburg,American poet and historian,89,Tom Mix,"American actor, director, and screenwriter",60
Aleksandra Ekster,Polish-French painter and set designer,67,Fan S. Noli,"Albanian-American bishop and politician, 14th Prime Minister of Albania",83,Sam Rayburn,"American lawyer and politician, 48th Speaker of the United States House of Representatives",79
Ted McDonald,Australian cricketer,46,Péter Veres,"Hungarian politician, Hungarian Minister of Defense",73,James Fitzmaurice,Irish soldier and pilot,67
